Edad,Experiencia,Horas_Estudio,Ingresos,Gasto_Mensual,Ahorro
48,30.1,21.2,5850.0,3637.0,2320.0
34,19.6,20.3,4383.0,2740.0,1585.0
64,41.0,14.5,6626.0,3807.0,2905.0
20,0.0,13.1,1830.0,1326.0,271.0
44,17.7,15.2,4562.0,3043.0,1496.0
26,7.6,24.4,2959.0,1906.0,1115.0
28,9.9,16.6,3330.0,2212.0,1245.0
43,18.4,18.6,4698.0,3108.0,1508.0
20,0.0,14.2,2555.0,1516.0,889.0
63,44.7,15.2,7701.0,4899.0,2776.0
27,5.7,17.6,2775.0,1910.0,753.0
43,23.5,15.5,4539.0,2992.0,1532.0
30,8.5,7.4,2821.0,2243.0,578.0
36,10.3,20.1,3809.0,2800.0,877.0
27,8.1,12.5,3385.0,2387.0,1079.0
54,36.0,23.4,6970.0,4378.0,2576.0
54,34.2,17.7,6118.0,3864.0,2362.0
52,27.1,15.3,5620.0,3452.0,1983.0
24,0.0,16.8,2353.0,1585.0,666.0
61,35.6,14.6,7408.0,4267.0,3193.0
58,38.3,13.1,6909.0,4399.0,2430.0
60,41.8,15.8,7710.0,4950.0,2743.0
47,26.3,18.5,5468.0,3249.0,2219.0
26,6.8,13.1,3262.0,2280.0,998.0
28,3.4,12.5,3040.0,1748.0,1224.0
27,5.4,13.6,2900.0,1938.0,976.0
31,4.9,18.8,2680.0,2299.0,303.0
53,28.7,20.8,5799.0,3447.0,2419.0
52,32.6,16.4,6598.0,4259.0,2327.0
42,19.3,17.3,4896.0,3101.0,1811.0
43,24.6,12.5,4975.0,3113.0,2119.0
56,35.6,18.5,6466.0,4355.0,2000.0
54,40.2,17.2,6327.0,4334.0,2132.0
63,41.3,12.2,7771.0,5205.0,2300.0
